text,link,state,contributors,text_cleaned
✔️ PR #917 auth/remove new marketplace in restricted list (YizhiCatherineZhang),https://github.com/EQWorks/snoke/pull/917,done,YizhiCatherineZhang, auth/remove new marketplace in restricted list
✔️ PR #916 marketplace - remove data from Spotzi in marketplace (YizhiCatherineZhang),https://github.com/EQWorks/snoke/pull/916,done,YizhiCatherineZhang, marketplace - remove data from Spotzi in marketplace
✔️ PR #915 Copywriting updates (DoParkEQ),https://github.com/EQWorks/snoke/pull/915,done,DoParkEQ, Copywriting updates
"⚠️ PR #914 hub - new google sheets flow (eq-ianecc, woozyking)",https://github.com/EQWorks/snoke/pull/914,wip,"eq-ianecc, woozyking"," hub - new google sheets flow (eq-ianecc,"
✔️ PR #15 devops -update notebook image (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/15,done,bsandi1220, devops -update notebook image
👀 PR #48 poi - add get_avail_poi_lists and get_pois (bsandi1220),https://github.com/EQWorks/locussdk/pull/48,needs review,bsandi1220, poi - add get_avail_poi_lists and get_pois
✔️ PR #47 devops - auto documentation generated from docstrings (woozyking),https://github.com/EQWorks/locussdk/pull/47,done,woozyking, devops - auto documentation generated from docstrings
✔️ PR #46 Fix missing reports when retrieving eq datasets (maluhoss),https://github.com/EQWorks/locussdk/pull/46,done,maluhoss, Fix missing reports when retrieving eq datasets
✔️ PR #45 Send readable error if wrong report type provided with eq report (maluhoss),https://github.com/EQWorks/locussdk/pull/45,done,maluhoss, Send readable error if wrong report type provided with eq report
✔️ PR #44 Access hub datasets (maluhoss),https://github.com/EQWorks/locussdk/pull/44,done,maluhoss, Access hub datasets
⚠️ PR #489 [Draft] hub - google sheet connector (eq-ianecc),https://github.com/EQWorks/firstorder/pull/489,wip,eq-ianecc, hub - google sheet connector
✔️ PR #488 ml/views - add middleware to consider wl/cu passed (tlowande),https://github.com/EQWorks/firstorder/pull/488,done,tlowande, ml/views - add middleware to consider wl/cu passed
✔️ PR #487 record count rev for connection hub and ML relevant queries (woozyking),https://github.com/EQWorks/firstorder/pull/487,done,woozyking, record count rev for connection hub and ML relevant queries
✔️ PR #486 Fix/ML - WI HasAOIData SQL fix (kevlabs),https://github.com/EQWorks/firstorder/pull/486,done,kevlabs, Fix/ML - WI HasAOIData SQL fix
"✔️ PR #2 devops - remove CRA, re-org repo, ensure lint, build, storybook and package publish with corresponding gh actions (woozyking)",https://github.com/EQWorks/snoke-dashboard/pull/2,done,woozyking," devops - remove CRA, re-org repo, ensure lint, build, storybook and package publish with corresponding gh actions"
✔️ PR #1 Dashboard layout base structure (DoParkEQ),https://github.com/EQWorks/snoke-dashboard/pull/1,done,DoParkEQ, Dashboard layout base structure
👀 PR #9 Google analytics supun (wwwmonsterlam),https://github.com/EQWorks/connector-google-analytics/pull/9,needs review,wwwmonsterlam, Google analytics supun
👀 PR #57 query-builder - fix top drawer position (tlowande),https://github.com/EQWorks/ml-ui/pull/57,needs review,tlowande, query-builder - fix top drawer position
✔️ PR #55 wl/cu selector in dev stage (tlowande)Issue #43 [FO] add wl/cu selector to filter dataIssue #54 no views bug,https://github.com/EQWorks/ml-ui/pull/55,done,tlowande, wl/cu selector in dev stage (tlowande)Issue add wl/cu selector to filter dataIssue no views
✔️ PR #52 Ml model/refactor - refactor useMLModel & related hooks (hyx131),https://github.com/EQWorks/ml-ui/pull/52,done,hyx131, Ml model/refactor - refactor useMLModel & related hooks
✔️ PR #54 Update @turf/helpers to v6.2.0; package to v0.4.3 (geoerika),https://github.com/EQWorks/react-maps/pull/54,done,geoerika, Update @turf/helpers to v6.2.0; package to v0.4.3
✔️ PR #53 revert to previous workflows; update actions/setup-node to v2 (geoerika),https://github.com/EQWorks/react-maps/pull/53,done,geoerika, revert to previous workflows; update actions/setup-node to v2
⚠️ PR #52 [DO NOT MERGE WITH MASTER UNTIL FIX FOUND] .npmrc workflow setup (geoerika),https://github.com/EQWorks/react-maps/pull/52,wip,geoerika, .npmrc workflow setup
✔️ PR #50 Workflows - add back registry for publish step (geoerika),https://github.com/EQWorks/react-maps/pull/50,done,geoerika, Workflows - add back registry for publish step
✔️ PR #49 Workflows - remove login (geoerika),https://github.com/EQWorks/react-maps/pull/49,done,geoerika, Workflows - remove login
✔️ PR #48 Refresh react-labs in yarn.lock (geoerika),https://github.com/EQWorks/react-maps/pull/48,done,geoerika, Refresh react-labs in yarn.lock
✔️ PR #47 Mapbox token refactor; create .npmrc file (geoerika),https://github.com/EQWorks/react-maps/pull/47,done,geoerika, Mapbox token refactor; create .npmrc file
✔️ PR #46 Update map packages (geoerika),https://github.com/EQWorks/react-maps/pull/46,done,geoerika, Update map packages
⚠️ PR #46 Fix test errors by rolling back react/maps; update react-maps package (geoerika),https://github.com/EQWorks/poi-manage/pull/46,wip,geoerika, Fix test errors by rolling back react/maps; update react-maps package
✔️ PR #45 Update package to v1.0.0 (geoerika),https://github.com/EQWorks/poi-manage/pull/45,done,geoerika, Update package to v1.0.0
✔️ PR #44 Upgrade workflow actions and react-map package (geoerika),https://github.com/EQWorks/poi-manage/pull/44,done,geoerika, Upgrade workflow actions and react-map package
✔️ PR #43 Add mapboxApiAccessToken ; refactor props (geoerika),https://github.com/EQWorks/poi-manage/pull/43,done,geoerika, Add mapboxApiAccessToken ; refactor props
✔️ PR #41 ColumnPOI - adjust POIManage to latest version of POIMap component (geoerika),https://github.com/EQWorks/poi-manage/pull/41,done,geoerika, ColumnPOI - adjust POIManage to latest version of POIMap component
⚠️ PR #125 experiment on visx/d3 integration (DoParkEQ),https://github.com/EQWorks/chart-system/pull/125,wip,DoParkEQ, experiment on visx/d3 integration
✔️ PR #154 devops - add auto-release (tlowande),https://github.com/EQWorks/react-labs/pull/154,done,tlowande, devops - add auto-release
✔️ PR #153 tabs - add forwardRef to use with drawers (tlowande),https://github.com/EQWorks/react-labs/pull/153,done,tlowande, tabs - add forwardRef to use with drawers
⚠️ PR #7 03 - data containers and repetitions (woozyking),https://github.com/EQWorks/python-curriculum/pull/7,wip,woozyking, 03 - data containers and repetitions
"✔️ PR #6 02 - logic controls (try/except, assert, extra on bitwise operations) (woozyking)",https://github.com/EQWorks/python-curriculum/pull/6,done,woozyking," 02 - logic controls (try/except, assert, extra on bitwise operations)"
✔️ PR #6 devops/npm-publish - enforce public access of published packages (woozyking),https://github.com/EQWorks/lumen-table/pull/6,done,woozyking, devops/npm-publish - enforce public access of published packages
⚠️ PR #2 add storybook and remove inline css (YizhiCatherineZhang),https://github.com/EQWorks/lumen-image-slider/pull/2,wip,YizhiCatherineZhang, add storybook and remove inline css
✔️ PR #31 tag - make access to package.json safer (tlowande),https://github.com/EQWorks/release/pull/31,done,tlowande, tag - make access to package.json safer
✔️ PR #16 journal - remove optional chaining (hyx131),https://github.com/EQWorks/avail-bot/pull/16,done,hyx131, journal - remove optional chaining
✔️ PR #15 Journal/vacay - skip journal process during vacay & fetch for pre-vacay tasks when back (hyx131),https://github.com/EQWorks/avail-bot/pull/15,done,hyx131, Journal/vacay - skip journal process during vacay & fetch for pre-vacay tasks when back
✔️ PR #10 github - lone repo updates to factor in teams and format by prod category (woozyking),https://github.com/EQWorks/updates/pull/10,done,woozyking, github - lone repo updates to factor in teams and format by prod category
✔️ PR #3 offWeekDaysDurations and support unavailable hours (woozyking),https://github.com/EQWorks/effort/pull/3,done,woozyking, offWeekDaysDurations and support unavailable hours
✔️ PR #68 Bday sign fix multi-bday logic (tlowande),https://github.com/EQWorks/legion/pull/68,done,tlowande, Bday sign fix multi-bday logic
👀 PR #19 Update - Add device capture and export to S3 (mptcloud),https://github.com/EQWorks/DeviceCounts/pull/19,needs review,mptcloud, Update - Add device capture and export to S3
✔️ PR #18 Update - Add SDR to data sources (mptcloud),https://github.com/EQWorks/DeviceCounts/pull/18,done,mptcloud, Update - Add SDR to data sources
⚠️ PR #1796 Integrate new poi-manage (geoerika),https://github.com/EQWorks/overlord/pull/1796,wip,geoerika, Integrate new poi-manage
