"✔️ PR #21 git - agnostic main branch, rev on commit, mention release CLI (woozyking)",https://github.com/EQWorks/common/pull/21,done,woozyking," git - agnostic main branch, rev on commit, mention release CLI"
✔️ PR #15 Communication (Goondrious),https://github.com/EQWorks/common/pull/15,done,Goondrious, Communication
✔️ PR #14 Revised Communication Doc: Includes feedback (maluhoss),https://github.com/EQWorks/common/pull/14,done,maluhoss, Revised Communication Doc: Includes feedback
✔️ PR #10 Reviewed and made a quick draft of the communications.md file (odesiuz),https://github.com/EQWorks/common/pull/10,done,odesiuz, Reviewed and made a quick draft of the communications.md file
✔️ PR #1 devops - port from @eqworks/react-labs with barebone structure (woozyking),https://github.com/EQWorks/lumen-image-slider/pull/1,done,woozyking, devops - port from @eqworks/react-labs with barebone structure
"👀 PR #6 02 - logic controls (bitwise operations, try/except, assert) (woozyking)",https://github.com/EQWorks/python-curriculum/pull/6,needs review,woozyking," 02 - logic controls (bitwise operations, try/except, assert)"
"✔️ PR #5 02 - logic controls (conditions, boolean operations) (woozyking)",https://github.com/EQWorks/python-curriculum/pull/5,done,woozyking," 02 - logic controls (conditions, boolean operations)"
⚠️ PR #1 Dashboard layout base structure (DoParkEQ),https://github.com/EQWorks/snoke-dashboard/pull/1,wip,DoParkEQ, Dashboard layout base structure
⚠️ PR #10 ip/eval meta and ip unary clustering (steven-mindswire),https://github.com/EQWorks/DataEvaluation/pull/10,wip,steven-mindswire, ip/eval meta and ip unary clustering
✔️ PR #2 Airflow/clustering pipeline (bsandi1220),https://github.com/EQWorks/POIClustering/pull/2,done,bsandi1220, Airflow/clustering pipeline
✔️ PR #2 get_location_segments - return empty dic when no data available (bsandi1220),https://github.com/EQWorks/segments_prefill/pull/2,done,bsandi1220, get_location_segments - return empty dic when no data available
👀 PR #28 Shortest path phase2 boxgen (tris-olson),https://github.com/EQWorks/path_builder/pull/28,needs review,tris-olson, Shortest path phase2 boxgen
👀 PR #24 airflowize daily commute and commute wrapper optimization (ansel-rangers11),https://github.com/EQWorks/path_builder/pull/24,needs review,ansel-rangers11, airflowize daily commute and commute wrapper optimization
text,link,state,contributors,text_cleaned
👀 PR #56 Updated design role evaluation criteria and its guideline (DoParkEQ),https://github.com/EQWorks/ws-problems/pull/56,needs review,DoParkEQ, Updated design role evaluation criteria and its guideline
⚠️ PR #68 widgets playground - flow selector for barChart (tlowande),https://github.com/EQWorks/ml-ui/pull/68,wip,tlowande, widgets playground - flow selector for barChart
⚠️ PR #67 Pro mode - support query create/edit via pro-mode textfield (hyx131)Issue #65 proMode - sync,https://github.com/EQWorks/ml-ui/pull/67,wip,hyx131, Pro mode - support query create/edit via pro-mode textfield (hyx131)Issue proMode -
⚠️ PR #10 ff - outro (woozyking),https://github.com/EQWorks/python-curriculum/pull/10,wip,woozyking, ff - outro
"✔️ PR #9 03 - 3/3 classes, pandas (dataframes) (woozyking)",https://github.com/EQWorks/python-curriculum/pull/9,done,woozyking," 03 - 3/3 classes, pandas (dataframes)"
"👀 PR #12 Upgrade @material-ui, @eqworks/lumen-ui packages (geoerika)",https://github.com/EQWorks/lumen-table/pull/12,needs review,geoerika," Upgrade @material-ui, @eqworks/lumen-ui packages"
✔️ PR #11 consistent filter position in a smaller table (DoParkEQ),https://github.com/EQWorks/lumen-table/pull/11,done,DoParkEQ, consistent filter position in a smaller table
✔️ PR #9 Enable table heads to take a fixed amount of space (DoParkEQ)Issue #8 Table styling enhancementIssue #10 Optional toolbar,https://github.com/EQWorks/lumen-table/pull/9,done,DoParkEQ, Enable table heads to take a fixed amount of space (DoParkEQ)Issue Table styling enhancementIssue Optional
⚠️ PR #52 Package change (geoerika),https://github.com/EQWorks/poi-manage/pull/52,wip,geoerika, Package change
"✔️ PR #51 Upgrade material-ui, react-maps; replace react-labs with lumen-ui; move ThemeProvider to storybook; auto set activePOI for one POI list (geoerika)",https://github.com/EQWorks/poi-manage/pull/51,done,geoerika," Upgrade material-ui, react-maps; replace react-labs with lumen-ui; move ThemeProvider to storybook; auto set activePOI for one POI list"
⚠️ PR #31 Material UI upgrade (geoerika),https://github.com/EQWorks/omni-search/pull/31,wip,geoerika, Material UI upgrade
✔️ PR #5 Package - changed to v1.0.1 (geoerika),https://github.com/EQWorks/lumen-ui/pull/5,done,geoerika, Package - changed to v1.0.1
✔️ PR #4 Upgrade material-ui packages; fix warnings after upgrade (geoerika),https://github.com/EQWorks/lumen-ui/pull/4,done,geoerika, Upgrade material-ui packages; fix warnings after upgrade
✔️ PR #58 Material-ui upgrade; replace react-labs with lumen-ui; minor styling change in POIMap/POITooltip; fix deck error (geoerika),https://github.com/EQWorks/react-maps/pull/58,done,geoerika, Material-ui upgrade; replace react-labs with lumen-ui; minor styling change in POIMap/POITooltip; fix deck error
✔️ PR #2 API endpoints meta table (woozyking),https://github.com/EQWorks/smaug/pull/2,done,woozyking, API endpoints meta table
✔️ PR #933 builder - upgrade version (tlowande),https://github.com/EQWorks/snoke/pull/933,done,tlowande, builder - upgrade version
✔️ PR #932 Home - read wl/cu from url and populate dropdowns (tlowande),https://github.com/EQWorks/snoke/pull/932,done,tlowande, Home - read wl/cu from url and populate dropdowns
"✔️ PR #931 builder - hide preprocess jobs view/edit, friendlier generic job type names (woozyking)",https://github.com/EQWorks/snoke/pull/931,done,woozyking," builder - hide preprocess jobs view/edit, friendlier generic job type names"
✔️ PR #928 Finance - smaug daily API consumption report (woozyking),https://github.com/EQWorks/snoke/pull/928,done,woozyking, Finance - smaug daily API consumption report
👀 PR #13 Google analytics 4 connector (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/13,needs review,supuntennakoon, Google analytics 4 connector
👀 PR #11 Supun tests (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/11,needs review,supuntennakoon, Supun tests
✔️ PR #9 Google analytics supun (wwwmonsterlam),https://github.com/EQWorks/connector-google-analytics/pull/9,done,wwwmonsterlam, Google analytics supun
✔️ PR #7 User scope (dilanSuraj),https://github.com/EQWorks/connector-google-analytics/pull/7,done,dilanSuraj, User scope
✔️ PR #56 Feature/native df compatibility (bsandi1220),https://github.com/EQWorks/locussdk/pull/56,done,bsandi1220, Feature/native df compatibility
✔️ PR #55 Feature/native df compatibility (bsandi1220),https://github.com/EQWorks/locussdk/pull/55,done,bsandi1220, Feature/native df compatibility
👀 PR #54 Save dataset as hub connection (maluhoss),https://github.com/EQWorks/locussdk/pull/54,needs review,maluhoss, Save dataset as hub connection
✔️ PR #53 AOI - Change routes to use query params for source_id (maluhoss),https://github.com/EQWorks/locussdk/pull/53,done,maluhoss, AOI - Change routes to use query params for source_id
✔️ PR #52 create_segment - add method to process audience and push segment (bsandi1220),https://github.com/EQWorks/locussdk/pull/52,done,bsandi1220, create_segment - add method to process audience and push segment
✔️ PR #51 Add Geocoding Util (maluhoss),https://github.com/EQWorks/locussdk/pull/51,done,maluhoss, Add Geocoding Util
✔️ PR #16 devops -update notebook image (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/16,done,bsandi1220, devops -update notebook image
✔️ PR #24 flow/utils - support lookalike segments and default values (tlowande),https://github.com/EQWorks/snoke-builder-viz/pull/24,done,tlowande, flow/utils - support lookalike segments and default values
✔️ PR #20 Exp autosize (DoParkEQ),https://github.com/EQWorks/snoke-builder-viz/pull/20,done,DoParkEQ, Exp autosize
✔️ PR #495 Use query params instead of route params for dataset AOI routes (maluhoss),https://github.com/EQWorks/firstorder/pull/495,done,maluhoss, Use query params instead of route params for dataset AOI routes
✔️ PR #494 Add geocoding route (maluhoss),https://github.com/EQWorks/firstorder/pull/494,done,maluhoss, Add geocoding route
✔️ PR #493 expense - smaug daily report split by stage and enrich by meta (woozyking),https://github.com/EQWorks/firstorder/pull/493,done,woozyking, expense - smaug daily report split by stage and enrich by meta
✔️ PR #28 popular times - refactor segment to use datapipeline jobs table (bsandi1220),https://github.com/EQWorks/EnrichData/pull/28,done,bsandi1220, popular times - refactor segment to use datapipeline jobs table
⚠️ PR #5 widget editor (DoParkEQ),https://github.com/EQWorks/snoke-dashboard/pull/5,wip,DoParkEQ, widget editor
👀 PR #14 Asana/vacays (woozyking),https://github.com/EQWorks/updates/pull/14,needs review,woozyking, Asana/vacays
⚠️ PR #69 journal - setup asana oauth flow via slack modal (hyx131),https://github.com/EQWorks/legion/pull/69,wip,hyx131, journal - setup asana oauth flow via slack modal
⚠️ PR #1 Create new note in Hugo meetings with slack digest file link (geoerika),https://github.com/EQWorks/hugo-chores/pull/1,wip,geoerika, Create new note in Hugo meetings with slack digest file link
✔️ PR #33 common/baseHandler - filter out revert commits (tlowande),https://github.com/EQWorks/release/pull/33,done,tlowande, common/baseHandler - filter out revert commits
⚠️ PR #32 nlp/label - 2021-Feb batch (woozyking),https://github.com/EQWorks/release/pull/32,wip,woozyking, nlp/label - 2021-Feb batch
⚠️ PR #1803 LocusPOI fix (geoerika),https://github.com/EQWorks/overlord/pull/1803,wip,geoerika, LocusPOI fix
text,link,state,contributors,text_cleaned
"👀 PR #122 data - add Pandas variant, revise instructions, submission in notebooks (woozyking)",https://github.com/EQWorks/ws-problems/pull/122,needs review,woozyking," data - add Pandas variant, revise instructions, submission in notebooks"
✔️ PR #114 mobile - open options to use stacks like flutter (woozyking),https://github.com/EQWorks/ws-problems/pull/114,done,woozyking, mobile - open options to use stacks like flutter
👀 PR #113 product - re-org tracks and revise problems (woozyking),https://github.com/EQWorks/ws-problems/pull/113,needs review,woozyking, product - re-org tracks and revise problems
✔️ PR #1 devops/gltich - update install instruction (woozyking),https://github.com/EQWorks/ws-product-ruby/pull/1,done,woozyking, devops/gltich - update install instruction
✔️ PR #3 My branch (warrenchu),https://github.com/EQWorks/ws-data-spark/pull/3,done,warrenchu, My branch
👀 PR #2 docker - use jupyter/pyspark-notebook image as the base (woozyking),https://github.com/EQWorks/ws-data-spark/pull/2,needs review,woozyking, docker - use jupyter/pyspark-notebook image as the base
✔️ PR #185 Fix/sdr preprocess oom (QingleiZhang),https://github.com/EQWorks/Miner/pull/185,done,QingleiZhang, Fix/sdr preprocess oom
👀 PR #12 Bell test final filter (QingleiZhang),https://github.com/EQWorks/cognitive/pull/12,needs review,QingleiZhang, Bell test final filter
👀 PR #11 Bell test data clean (steven-mindswire),https://github.com/EQWorks/cognitive/pull/11,needs review,steven-mindswire, Bell test data clean
👀 PR #9 add README.md (wwwmonsterlam),https://github.com/EQWorks/cognitive/pull/9,needs review,wwwmonsterlam, add README.md
⚠️ PR #22 popular times v1 - remove preprocessing from pipeline (bsandi1220),https://github.com/EQWorks/DeviceCounts/pull/22,wip,bsandi1220, popular times v1 - remove preprocessing from pipeline
👀 PR #1 Step fn migration (odesiuz),https://github.com/EQWorks/dev-gtfs/pull/1,needs review,odesiuz, Step fn migration
👀 PR #63 AOI - Improve fetching data (maluhoss),https://github.com/EQWorks/locussdk/pull/63,needs review,maluhoss, AOI - Improve fetching data
✔️ PR #60 enrich - update direct mapping to use posturl (bsandi1220),https://github.com/EQWorks/locussdk/pull/60,done,bsandi1220, enrich - update direct mapping to use posturl
✔️ PR #62 get_popular_times - remove suppport for popular-times-v1 (bsandi1220),https://github.com/EQWorks/locussdk/pull/62,done,bsandi1220, get_popular_times - remove suppport for popular-times-v1
✔️ PR #61 get_geojson - add presigned post url for scalability (bsandi1220),https://github.com/EQWorks/locussdk/pull/61,done,bsandi1220, get_geojson - add presigned post url for scalability
👀 PR #31 AOI - improve scalability (maluhoss),https://github.com/EQWorks/EnrichData/pull/31,needs review,maluhoss, AOI - improve scalability
✔️ PR #30 get_geojson - update to use presigned post url (bsandi1220),https://github.com/EQWorks/EnrichData/pull/30,done,bsandi1220, get_geojson - update to use presigned post url
✔️ PR #29 get_presigned_post - add upload type enrich (bsandi1220),https://github.com/EQWorks/EnrichData/pull/29,done,bsandi1220, get_presigned_post - add upload type enrich
✔️ PR #7 demo - remove popular-times-v1 (bsandi1220),https://github.com/EQWorks/notebook-files/pull/7,done,bsandi1220, demo - remove popular-times-v1
👀 PR #23 popular-times-v1 - remove API backend (bsandi1220),https://github.com/EQWorks/PopularTimes/pull/23,needs review,bsandi1220, popular-times-v1 - remove API backend
👀 PR #4 Shopify - Endpoints for the Events Section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/4,needs review,supuntennakoon, Shopify - Endpoints for the Events Section
👀 PR #3 Shopify - Endpoints for the Inventory Section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/3,needs review,supuntennakoon, Shopify - Endpoints for the Inventory Section
👀 PR #2 Shopify - Endpoints for the Orders section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/2,needs review,supuntennakoon, Shopify - Endpoints for the Orders section
👀 PR #1 Shopify - Endpoints for the Products section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/1,needs review,supuntennakoon, Shopify - Endpoints for the Products section
✔️ PR #19 devops - update notebook image (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/19,done,bsandi1220, devops - update notebook image
✔️ PR #14 06 - meta-automation (woozyking),https://github.com/EQWorks/python-curriculum/pull/14,done,woozyking, 06 - meta-automation
👀 PR #35 Bert embedding (steven-mindswire),https://github.com/EQWorks/release/pull/35,needs review,steven-mindswire, Bert embedding
✔️ PR #32 nlp/label - 2021-Feb batch (woozyking),https://github.com/EQWorks/release/pull/32,done,woozyking, nlp/label - 2021-Feb batch
👀 PR #5 Hivestack index filter (odesiuz),https://github.com/EQWorks/astral/pull/5,needs review,odesiuz, Hivestack index filter
⚠️ PR #4 Index Job (QingleiZhang),https://github.com/EQWorks/astral/pull/4,wip,QingleiZhang, Index Job
text,link,state,contributors,text_cleaned
"⚠️ PR #8 03 dict, while, loop controls, time-complexity (woozyking)",https://github.com/EQWorks/python-curriculum/pull/8,wip,woozyking," 03 dict, while, loop controls, time-complexity"
✔️ PR #7 03 - data containers and repetitions (1/3) (woozyking),https://github.com/EQWorks/python-curriculum/pull/7,done,woozyking, 03 - data containers and repetitions (1/3)
⚠️ PR #1 Query mechanism and daily finance aggregation (woozyking),https://github.com/EQWorks/smaug/pull/1,wip,woozyking, Query mechanism and daily finance aggregation
⚠️ PR #125 experiment on visx/d3 integration (DoParkEQ),https://github.com/EQWorks/chart-system/pull/125,wip,DoParkEQ, experiment on visx/d3 integration
✔️ PR #50 get_dataset - fix aoi storage including resolution (bsandi1220),https://github.com/EQWorks/locussdk/pull/50,done,bsandi1220, get_dataset - fix aoi storage including resolution
✔️ PR #49 get_audience_from_poi_list - add method to create audience from poi list (bsandi1220),https://github.com/EQWorks/locussdk/pull/49,done,bsandi1220, get_audience_from_poi_list - add method to create audience from poi list
✔️ PR #48 poi - add get_avail_poi_lists and get_pois (bsandi1220),https://github.com/EQWorks/locussdk/pull/48,done,bsandi1220, poi - add get_avail_poi_lists and get_pois
✔️ PR #22 audience build - update dynamodb table (bsandi1220),https://github.com/EQWorks/PopularTimes/pull/22,done,bsandi1220, audience build - update dynamodb table
✔️ PR #25 hh - update fernet key (bsandi1220),https://github.com/EQWorks/EnrichData/pull/25,done,bsandi1220, hh - update fernet key
✔️ PR #15 devops -update notebook image (bsandi1220),https://github.com/EQWorks/JupyterHub/pull/15,done,bsandi1220, devops -update notebook image
👀 PR #9 Google analytics supun (wwwmonsterlam),https://github.com/EQWorks/connector-google-analytics/pull/9,needs review,wwwmonsterlam, Google analytics supun
👀 PR #3 Clustering pipeline/add polygon (bsandi1220),https://github.com/EQWorks/POIClustering/pull/3,needs review,bsandi1220, Clustering pipeline/add polygon
⚠️ PR #21 Popular times v2/dynamodb upload (bsandi1220),https://github.com/EQWorks/DeviceCounts/pull/21,wip,bsandi1220, Popular times v2/dynamodb upload
✔️ PR #20 count_devices - fix dataframe structure when saving to rds (bsandi1220),https://github.com/EQWorks/DeviceCounts/pull/20,done,bsandi1220, count_devices - fix dataframe structure when saving to rds
✔️ PR #19 Update - Add device capture and export to S3 (mptcloud),https://github.com/EQWorks/DeviceCounts/pull/19,done,mptcloud, Update - Add device capture and export to S3
⚠️ PR #10 ip/eval meta and ip unary clustering (steven-mindswire),https://github.com/EQWorks/DataEvaluation/pull/10,wip,steven-mindswire, ip/eval meta and ip unary clustering
✔️ PR #17 dev-journal - filter undefined values for vacay tasks (hyx131),https://github.com/EQWorks/avail-bot/pull/17,done,hyx131, dev-journal - filter undefined values for vacay tasks
✔️ PR #13 github - dedupe PR co-committers list (woozyking),https://github.com/EQWorks/updates/pull/13,done,woozyking, github - dedupe  co-committers list
"✔️ PR #12 Range for monthly and annual digest, with API usage optimizations (woozyking)",https://github.com/EQWorks/updates/pull/12,done,woozyking," Range for monthly and annual digest, with API usage optimizations"
✔️ PR #31 tag - make access to package.json safer (tlowande),https://github.com/EQWorks/release/pull/31,done,tlowande, tag - make access to package.json safer
✔️ PR #49 Fix/Vast - Fix banner code (kevlabs),https://github.com/EQWorks/camp-history-writer/pull/49,done,kevlabs, Fix/Vast - Fix banner code
👀 PR #30 update master branch with in-production code (tris-olson),https://github.com/EQWorks/path_builder/pull/30,needs review,tris-olson, update master branch with in-production code
✔️ PR #29 update shortest_path with wrapper file and code for airflow pipeline (tris-olson),https://github.com/EQWorks/path_builder/pull/29,done,tris-olson, update shortest_path with wrapper file and code for airflow pipeline
✔️ PR #24 airflowize daily commute and commute wrapper optimization (ansel-rangers11),https://github.com/EQWorks/path_builder/pull/24,done,ansel-rangers11, airflowize daily commute and commute wrapper optimization
⚠️ PR #4 Index Job (QingleiZhang),https://github.com/EQWorks/astral/pull/4,wip,QingleiZhang, Index Job
👀 PR #3 Commute direction (dshparyk),https://github.com/EQWorks/astral/pull/3,needs review,dshparyk, Commute direction
text,link,state,contributors,text_cleaned
✔️ PR #128 Tooltip disable title prop; add box-shadow and fix padding in tooltip (geoerika)Issue #127 Nivo - disable legend does not disable one on its tooltip,https://github.com/EQWorks/chart-system/pull/128,done,geoerika, Tooltip disable title prop; add box-shadow and fix padding in tooltip (geoerika)Issue Nivo - disable legend does not disable one on its
⚠️ PR #126 VISX/Plotly/D3 exp (DoParkEQ),https://github.com/EQWorks/chart-system/pull/126,wip,DoParkEQ, VISX/Plotly/D3 exp
"✔️ PR #18 others/git - intro to git, commits, branches (woozyking)",https://github.com/EQWorks/python-curriculum/pull/18,done,woozyking," others/git - intro to git, commits, branches"
✔️ PR #1 Ongoing projects (woozyking),https://github.com/EQWorks/kb/pull/1,done,woozyking, Ongoing projects
✔️ PR #2 Add work sample solution 1-3 (woozyking),https://github.com/EQWorks/data-analyst-training/pull/2,done,woozyking, Add work sample solution 1-3
✔️ PR #1 recipe - search available POI lists by name (woozyking),https://github.com/EQWorks/locussdk-collab/pull/1,done,woozyking, recipe - search available POI lists by name
👀 PR #24 Devops - update notebook image to v0.7.11 (maluhoss),https://github.com/EQWorks/JupyterHub/pull/24,needs review,maluhoss, Devops - update notebook image to v0.7.11
✔️ PR #23 single user server - fix poststart hook due to invalid token (maluhoss),https://github.com/EQWorks/JupyterHub/pull/23,done,maluhoss, single user server - fix poststart hook due to invalid token
👀 PR #80 Devops - add automated testing for demo notebooks on release (waynezhu6),https://github.com/EQWorks/locussdk/pull/80,needs review,waynezhu6, Devops - add automated testing for demo notebooks on release
✔️ PR #78 get_audience,https://github.com/EQWorks/locussdk/pull/78,done,,
✔️ PR #79 Geocode - fix missing postalcodes due to API (maluhoss),https://github.com/EQWorks/locussdk/pull/79,done,maluhoss, Geocode - fix missing postalcodes due to API
✔️ PR #46 connection-hub - datetime serialization bugfix (newest) (waynezhu6),https://github.com/EQWorks/EnrichData/pull/46,done,waynezhu6, connection-hub - datetime serialization bugfix (newest)
✔️ PR #45 connectionHub - datetime serialization bugfix (waynezhu6),https://github.com/EQWorks/EnrichData/pull/45,done,waynezhu6, connectionHub - datetime serialization bugfix
"✔️ PR #44 Revert ""[G2M] connectionHub - datetime serialization bugfix"" (waynezhu6)",https://github.com/EQWorks/EnrichData/pull/44,done,waynezhu6," Revert "" connectionHub - datetime serialization bugfix"""
✔️ PR #42 connectionHub - datetime serialization bugfix (waynezhu6),https://github.com/EQWorks/EnrichData/pull/42,done,waynezhu6, connectionHub - datetime serialization bugfix
✔️ PR #43 Get_polygon - include centroid to use in geocode locussdk method (maluhoss),https://github.com/EQWorks/EnrichData/pull/43,done,maluhoss, Get_polygon - include centroid to use in geocode locussdk method
✔️ PR #651 Customer/GeoCohort - Add cohort size attributes (kevlabs),https://github.com/EQWorks/overseer/pull/651,done,kevlabs, Customer/GeoCohort - Add cohort size attributes
✔️ PR #650 insights - geo cohort - add list name (eq-ianecc),https://github.com/EQWorks/overseer/pull/650,done,eq-ianecc, insights - geo cohort - add list name
✔️ PR #649 WL - endpoint to create white label (woozyking),https://github.com/EQWorks/overseer/pull/649,done,woozyking, WL - endpoint to create white label
👀 PR #35 small fix to journey builder to lower case userIDs (dshparyk),https://github.com/EQWorks/path_builder/pull/35,needs review,dshparyk, small fix to journey builder to lower case userIDs
👀 PR #2 Ip classification (steven-mindswire),https://github.com/EQWorks/hhv2_prod/pull/2,needs review,steven-mindswire, Ip classification
👀 PR #1 restructure and amend doc (QingleiZhang),https://github.com/EQWorks/hhv2_prod/pull/1,needs review,QingleiZhang, restructure and amend doc
text,link,state,contributors,text_cleaned
👀 PR #114 mobile - open options to use stacks like flutter (woozyking),https://github.com/EQWorks/ws-problems/pull/114,needs review,woozyking, mobile - open options to use stacks like flutter
👀 PR #113 product - re-org tracks and revise problems (woozyking),https://github.com/EQWorks/ws-problems/pull/113,needs review,woozyking, product - re-org tracks and revise problems
✔️ PR #112 mobile - update prob 1 for variants consistency (woozyking),https://github.com/EQWorks/ws-problems/pull/112,done,woozyking, mobile - update prob 1 for variants consistency
✔️ PR #107 mobile - draft problems and evaluation guide (woozyking),https://github.com/EQWorks/ws-problems/pull/107,done,woozyking, mobile - draft problems and evaluation guide
👀 PR #105 update wireframe link (DoParkEQ),https://github.com/EQWorks/ws-problems/pull/105,needs review,DoParkEQ, update wireframe link
✔️ PR #2 playground - parity with kotlin variant (woozyking),https://github.com/EQWorks/ws-mobile-swift/pull/2,done,woozyking, playground - parity with kotlin variant
✔️ PR #1 playground - simplify and factor out ping() (woozyking),https://github.com/EQWorks/ws-mobile-swift/pull/1,done,woozyking, playground - simplify and factor out ping()
👀 PR #1 Shopify - Endpoints for the Products section (supuntennakoon),https://github.com/EQWorks/connector-shopify/pull/1,needs review,supuntennakoon, Shopify - Endpoints for the Products section
👀 PR #60 enrich - update direct mapping to use posturl (bsandi1220),https://github.com/EQWorks/locussdk/pull/60,needs review,bsandi1220, enrich - update direct mapping to use posturl
👀 PR #29 get_presigned_post - add upload type enrich (bsandi1220),https://github.com/EQWorks/EnrichData/pull/29,needs review,bsandi1220, get_presigned_post - add upload type enrich
👀 PR #14 Supun test/supun 7 (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/14,needs review,supuntennakoon, Supun test/supun 7
👀 PR #13 Google analytics 4 connector (supuntennakoon),https://github.com/EQWorks/connector-google-analytics/pull/13,needs review,supuntennakoon, Google analytics 4 connector
"✔️ PR #13 05 - add README entry to nbviewer, add 04 exercise (woozyking)",https://github.com/EQWorks/python-curriculum/pull/13,done,woozyking," 05 - add README entry to nbviewer, add 04 exercise"
✔️ PR #12 05 - obtain internet resources (woozyking),https://github.com/EQWorks/python-curriculum/pull/12,done,woozyking, 05 - obtain internet resources
✔️ PR #32 rearranged repo and improved documentation (tris-olson),https://github.com/EQWorks/path_builder/pull/32,done,tris-olson, rearranged repo and improved documentation
👀 PR #30 update master branch with in-production code (tris-olson),https://github.com/EQWorks/path_builder/pull/30,needs review,tris-olson, update master branch with in-production code
✔️ PR #28 Shortest path phase2 boxgen (tris-olson),https://github.com/EQWorks/path_builder/pull/28,done,tris-olson, Shortest path phase2 boxgen
✔️ PR #7 create_dag - update board mapping and ouput folder (bsandi1220),https://github.com/EQWorks/POIClustering/pull/7,done,bsandi1220, create_dag - update board mapping and ouput folder
✔️ PR #6 Daily pipeline/add commute (bsandi1220),https://github.com/EQWorks/POIClustering/pull/6,done,bsandi1220, Daily pipeline/add commute
